225	232.51	13495	13570.00069830165	0.0018716375019988186	0.0033460798006945416	0.0035710829289802926	0.0034578753519447798	0.0030201230025392787
232.51	240.271	12352	12360.8773101581	0.0016775410082916916	0.002950870909979534	0.0031204003982666395	0.002993867904648305	0.002591056825923284
240.271	248.291	11119	11247.105023474163	0.0014805768333770659	0.002555812182605212	0.002673588543695853	0.002537603880602156	0.002172577918215453
248.291	256.579	10171	10222.887031568278	0.0012806921678155116	0.0021609050042881903	0.002230644163402452	0.00208901319557755	0.001764505364893131
256.579	265.143	9459	9280.404281675066	0.0010778385243217334	0.001766161484812198	0.0017915758486576163	0.0016480376664916477	0.0013666705567386011
265.143	273.994	8480	8416.744578701457	0.000871951198809882	0.0013715650081112516	0.001356360375437633	0.0012145874844078678	0.000978878156790584
273.994	283.139	7694	7622.311754575604	0.0006629794250803797	0.000977128330127883	0.0009250069201897136	0.0007886053054006249	0.0006009635531465088
283.139	292.59	6984	6896.335862166243	0.0004508710313294694	0.0005828640540141948	0.0004975243707325631	0.00037003356839573757	0.00023276349920963027
292.59	302.357	6149	6231.857420992115	0.00023554205127201215	0.0001887286334643079	0.00007386085080723001	-0.00004124449304920218	-0.00012593558952168546
302.357	312.449	5690	5623.831761135852	0.000016949132165580563	-0.00020524332750895813	-0.0003459508948581497	-0.0004452627199435931	-0.0004752728106058358
312.449	322.878	5058	5069.701598575356	-0.0002049659708687238	-0.000599042476071734	-0.0007619058035821734	-0.0008420821705309079	-0.0008154098232676505
322.878	333.656	4496	4565.053941846403	-0.0004302891734072499	-0.0009927052572903815	-0.0011740469505186959	-0.0012318094295409698	-0.001146545500440931
333.656	344.793	4044	4105.193763444044	-0.0006590793895456272	-0.001386216918383745	-0.0015823631772277226	-0.001614499031926249	-0.0014688323761321476
344.793	356.302	3657	3687.7130858590913	-0.0008913978109778546	-0.0017795641613409375	-0.0019868451820197934	-0.001990207422639897	-0.0017824232851813087
356.302	368.195	3202	3308.75884288576	-0.0011273221182272705	-0.0021727588727821065	-0.0023875097754776867	-0.002359015343516609	-0.0020874899277939112
368.195	380.485	2922	2965.4202536875077	-0.001366922484529722	-0.0025657967511662815	-0.0027843569598258442	-0.0027209876181585055	-0.0023841890193280193
380.485	393.185	2669	2654.6753047571956	-0.001610273278248173	-0.002958677311115257	-0.0031773906821941883	-0.003076192601434015	-0.0026726786751767374
393.185	406.309	2456	2373.9186552064034	-0.0018574517340303148	-0.003351401299705008	-0.0035666160579507725	-0.003424699496486501	-0.002953116094741362
406.309	419.872	2151	2120.6509941784298	-0.002108547495764129	-0.003743985322158226	-0.00395205363163429	-0.0037665909227890984	-0.0032256675241366223
419.872	433.887	1866	1892.12510962995	-0.0023636354478031676	-0.004136419093320903	-0.004333697329488611	-0.004101925559510592	-0.003490478439229564
433.887	448.369	1688	1686.4270340268351	-0.0026227826976071697	-0.0045286776447728315	-0.0047115272531132995	-0.004430750203428501	-0.0037476837219607936
448.369	463.336	1520	1501.740896976193	-0.002886094948942401	-0.004920791031765491	-0.005085576609653633	-0.004753157827759924	-0.003997452923889907
463.336	478.801	1403	1335.5995768644646	-0.0031536563838700828	-0.0053127527599353625	-0.005455843254737371	-0.005069210380106713	-0.004239929712654234
478.801	494.783	1220	1186.791324714269	-0.0034255485971966706	-0.0057045489402190045	-0.005822318139360329	-0.0053789638577012786	-0.004475251738486207
494.783	511.299	1090	1053.4514228447667	-0.0037018845966263697	-0.006096207213625457	-0.006185031118931969	-0.005682507070394279	-0.004703580122963081
511.299	528.365	909	934.0364841030922	-0.003982744239009144	-0.006487703658122429	-0.006543963922584045	-0.005979888115477259	-0.004925043628222569
528.365	546.002	819	827.438202389679	-0.004268231873389779	-0.006879045032424246	-0.006899126723046736	-0.006271178805262259	-0.005139787392973535
546.002	564.227	751	732.1714538866094	-0.004558456820257421	-0.007270240506616493	-0.007250531716085254	-0.006556452360550802	-0.005347956011744283
564.227	583.06	619	647.2287167381675	-0.004853510381025482	-0.007661270572174275	-0.007598165231445335	-0.006835760805886784	-0.0055496770717072255
583.06	602.522	569	571.5761573482257	-0.005153509999876341	-0.0080521465847075	-0.007942041328502732	-0.007109178572867322	-0.005745093045168858
602.522	622.634	527	504.2454365780277	-0.005458573914209553	-0.008442875812198247	-0.008282170082020462	-0.007376776507290073	-0.005934342151337098
622.634	643.417	467	444.36967309404747	-0.005768813221194824	-0.008833451628185258	-0.008618549353776624	-0.007638615652902657	-0.0061175541549918005
643.417	664.894	405	391.204778960237	-0.0060843465230081845	-0.009223872402575549	-0.008951181415554578	-0.00789476047336544	-0.006294859822935694
664.894	687.087	321	344.0176110365129	-0.006405294195697804	-0.009614134120512147	-0.009280066603868861	-0.00814527391894552	-0.006466387475586025
687.087	710.022	331	302.223870435121	-0.006731789514211479	-0.010004243367096476	-0.00960521408151539	-0.00839022548641941	-0.006632268413400737
710.022	733.722	285	265.19525155211676	-0.007063968445937983	-0.010394204623879548	-0.009926631097951175	-0.008629683019112083	-0.006792631294609195
733.722	758.213	200	232.44781330983093	-0.007401957495050102	-0.010784005997973144	-0.010244311347794695	-0.008863704129907819	-0.0069475964608528545
758.213	783.521	182	203.50776881335483	-0.007745898671413783	-0.011173648678884015	-0.010558259445869444	-0.00909235458166533	-0.00709728834600468
783.521	809.674	163	177.96653499903744	-0.008095939829290182	-0.01156313481452215	-0.010868480658137796	-0.009315700435452223	-0.007241830086819318
809.674	836.7	149	155.4413826878028	-0.008452235972276028	-0.011952468677411154	-0.011174981818319213	-0.009533808708356595	-0.0073813439527795665
