0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+02 7.076747512779217875e-01
1.850000000000000000e+02 8.835439034476397779e-01
3.250000000000000000e+02 1.061858298668642231e+00
4.500000000000000000e+02 1.110660289446364191e+00
6.000000000000000000e+02 1.106153869996879369e+00
8.000000000000000000e+02 1.093253454636276656e+00
1.050000000000000000e+03 1.078276137198263651e+00
1.500000000000000000e+03 1.055696861744958026e+00
2.400000000000000000e+03 9.653546075307389840e-01
4.500000000000000000e+03 8.743220109083821301e-01
